@relation vendas
  
@attribute sexo {F, M}
@attribute idade real
@attribute filhos {Nao, Sim}
@attribute gasta_muito {Nao, Sim}
  
@data
F,39,Nao,Sim
M,44,Sim,Sim
M,18,Nao,Nao
F,40,Nao,Nao
M,30,Nao,Nao
M,46,Nao,Nao
M,71,Sim,Nao
F,39,Sim,Nao
M,31,Sim,Sim
M,59,Sim,Sim
F,32,Nao,Nao
M,74,Nao,Sim
F,36,Sim,Sim
M,32,Sim,Sim
F,37,Nao,Sim
M,55,Sim,Nao
M,64,Sim,Sim
F,34,Sim,Sim
M,46,Sim,Nao
F,21,Nao,Nao
F,19,Sim,Sim
M,23,Nao,Sim
F,60,Sim,Nao
F,60,Nao,Nao
M,75,Nao,Sim
M,29,Nao,Nao
F,68,Sim,Nao
F,48,Nao,Sim
M,56,Nao,Sim
F,46,Nao,Sim
F,76,Sim,Sim
M,54,Sim,Sim
F,56,Sim,Sim
M,32,Sim,Sim
F,45,Nao,Sim
M,37,Nao,Sim
M,53,Nao,Sim
M,27,Nao,Sim
M,73,Nao,Nao
F,63,Sim,Nao
M,24,Sim,Nao
M,76,Sim,Nao
F,27,Sim,Sim
M,79,Nao,Nao
F,33,Sim,Sim
F,61,Sim,Nao
F,59,Nao,Nao
M,41,Sim,Nao
M,22,Sim,Sim
M,50,Sim,Sim
F,57,Sim,Nao
F,24,Sim,Sim
F,45,Sim,Sim
F,45,Sim,Sim
M,55,Sim,Nao
F,32,Nao,Nao
F,64,Nao,Nao
F,77,Nao,Sim
M,80,Sim,Sim
F,52,Sim,Nao
M,26,Nao,Nao
F,49,Nao,Nao
M,64,Sim,Sim
F,50,Nao,Sim
M,74,Nao,Nao
F,50,Sim,Sim
F,33,Nao,Sim
F,61,Nao,Nao
F,33,Sim,Sim
M,61,Sim,Nao
F,57,Nao,Sim
M,32,Sim,Sim
M,59,Nao,Sim
M,35,Sim,Sim
F,30,Nao,Nao
M,37,Sim,Nao
F,18,Nao,Sim
F,30,Nao,Sim
F,40,Sim,Sim
M,71,Nao,Nao
F,34,Nao,Nao
F,54,Nao,Nao
F,27,Sim,Nao
M,62,Sim,Nao
M,52,Sim,Nao
M,68,Nao,Nao
M,63,Nao,Sim
F,27,Sim,Sim
F,64,Nao,Sim
M,21,Sim,Nao
F,43,Nao,Nao
M,78,Sim,Sim
M,70,Sim,Nao
F,26,Sim,Nao
F,48,Sim,Nao
M,23,Nao,Nao
M,57,Sim,Nao
F,45,Nao,Nao
F,69,Nao,Sim
M,41,Sim,Nao
F,51,Sim,Sim
F,56,Sim,Nao
F,40,Nao,Sim
F,67,Sim,Sim
M,39,Nao,Nao
M,78,Nao,Sim
F,29,Sim,Sim
M,62,Sim,Sim
F,41,Sim,Sim
M,62,Sim,Nao
F,36,Sim,Nao
M,80,Nao,Sim
M,27,Sim,Sim
F,63,Sim,Sim
M,77,Nao,Sim
F,61,Sim,Sim
M,30,Sim,Sim
F,46,Nao,Nao
M,66,Sim,Nao
M,77,Nao,Nao
M,65,Sim,Sim
F,35,Sim,Sim
M,79,Sim,Sim
M,61,Sim,Sim
M,19,Nao,Nao
F,25,Sim,Sim
F,19,Sim,Sim
F,35,Nao,Sim
F,76,Sim,Nao
M,61,Sim,Nao
F,54,Nao,Sim
M,73,Sim,Sim
M,51,Nao,Nao
M,66,Sim,Nao
F,18,Sim,Nao
M,23,Sim,Sim
F,72,Nao,Nao
F,28,Nao,Sim
M,35,Nao,Nao
M,38,Nao,Nao
M,60,Sim,Sim
M,71,Nao,Sim
F,22,Sim,Sim
M,47,Sim,Nao
M,44,Sim,Nao
M,49,Sim,Sim
F,48,Sim,Nao
M,34,Nao,Nao
F,32,Sim,Nao
M,25,Sim,Sim
F,30,Nao,Nao
M,42,Sim,Sim
M,63,Sim,Sim
F,42,Sim,Nao
M,73,Nao,Nao
F,35,Sim,Nao
M,77,Sim,Nao
M,73,Sim,Sim
F,29,Sim,Nao
F,46,Nao,Sim
M,55,Nao,Nao
F,39,Sim,Sim
F,70,Sim,Nao
M,36,Nao,Nao
F,39,Sim,Nao
F,54,Nao,Nao
M,71,Sim,Sim
M,56,Sim,Sim
F,23,Sim,Sim
M,47,Nao,Sim
F,52,Sim,Nao
M,68,Sim,Sim
F,29,Nao,Nao
M,34,Nao,Nao
M,80,Nao,Nao
F,52,Sim,Sim
F,19,Nao,Nao
F,23,Nao,Nao
M,19,Nao,Sim
F,47,Nao,Nao
F,25,Nao,Sim
F,77,Nao,Nao
M,19,Nao,Sim
M,43,Nao,Nao
F,80,Sim,Nao
M,58,Nao,Nao
F,65,Nao,Nao
M,61,Sim,Sim
F,70,Nao,Nao
F,79,Sim,Nao
F,49,Sim,Sim
F,59,Sim,Sim
M,43,Nao,Nao
F,36,Nao,Nao
M,29,Nao,Nao
M,32,Sim,Nao
F,72,Nao,Nao
F,63,Sim,Nao
F,30,Sim,Nao
F,42,Nao,Nao
M,18,Sim,Sim
F,74,Sim,Sim
F,66,Sim,Sim
M,79,Sim,Sim
F,57,Sim,Nao
F,55,Nao,Sim
F,32,Sim,Nao
M,72,Sim,Nao
M,40,Sim,Sim
M,55,Nao,Sim
F,43,Sim,Sim
M,43,Sim,Nao
F,64,Nao,Sim
M,66,Nao,Sim
M,27,Sim,Sim
F,48,Sim,Sim
M,18,Nao,Sim
M,29,Sim,Sim
F,39,Nao,Nao
M,62,Sim,Sim
F,56,Nao,Nao
M,23,Nao,Nao
M,56,Nao,Sim
M,80,Sim,Sim
M,62,Sim,Sim
F,44,Nao,Nao
F,75,Sim,Sim
M,31,Nao,Sim
M,63,Sim,Sim
M,19,Sim,Nao
M,24,Sim,Nao
F,72,Sim,Sim
F,70,Nao,Sim
M,18,Nao,Nao
M,80,Sim,Nao
M,46,Nao,Sim
F,63,Sim,Nao
F,72,Nao,Sim
M,24,Nao,Nao
F,35,Sim,Nao
F,74,Nao,Sim
M,26,Nao,Sim
F,64,Sim,Sim
M,43,Nao,Nao
F,30,Sim,Sim
F,72,Sim,Sim
F,69,Sim,Sim
M,36,Nao,Nao
F,22,Sim,Nao
M,46,Nao,Nao
F,34,Nao,Sim
M,64,Sim,Sim
F,62,Nao,Sim
F,19,Nao,Sim
F,66,Nao,Nao
M,69,Nao,Nao
M,44,Sim,Nao
F,75,Sim,Sim
F,58,Sim,Nao
M,30,Sim,Sim
F,56,Nao,Nao
M,69,Sim,Sim
M,64,Nao,Sim
F,47,Sim,Nao
M,53,Sim,Nao
F,38,Sim,Nao
M,75,Sim,Sim
M,73,Sim,Sim
F,18,Sim,Nao
M,37,Nao,Sim
F,18,Sim,Nao
F,31,Nao,Sim
M,52,Nao,Nao
M,69,Sim,Nao
M,31,Nao,Sim
F,53,Nao,Sim
F,78,Sim,Sim
F,51,Nao,Nao
F,20,Nao,Nao
F,24,Nao,Nao
F,31,Sim,Nao
M,33,Sim,Sim
F,40,Nao,Sim
M,18,Nao,Sim
M,76,Sim,Sim
M,69,Nao,Nao
F,73,Sim,Sim
M,58,Sim,Sim
F,52,Nao,Sim
F,40,Nao,Sim
M,55,Sim,Sim
F,63,Sim,Sim
M,18,Sim,Sim
F,71,Sim,Nao
F,21,Nao,Sim
F,40,Nao,Sim
F,45,Sim,Sim
M,54,Nao,Sim
M,70,Sim,Sim
M,21,Sim,Sim
F,42,Nao,Sim
F,61,Sim,Sim
F,20,Sim,Nao
F,25,Sim,Nao
