@relation weather

@attribute outlook {sunny, overcast, rainy}
@attribute temperature numeric
@attribute humidity numeric
@attribute windy {TRUE, FALSE}
@attribute play {yes, no}

@data
sunny,72,21,FALSE,no
sunny,35,45,FALSE,no
sunny,14,60,TRUE,no
rainy,68,53,TRUE,no
rainy,4,78,FALSE,no
overcast,55,69,TRUE,no
overcast,14,68,FALSE,no
rainy,0,75,TRUE,no
rainy,36,74,FALSE,no
overcast,32,32,FALSE,yes
sunny,74,12,FALSE,no
rainy,21,70,TRUE,yes
sunny,65,64,TRUE,no
sunny,8,42,TRUE,yes
rainy,19,77,FALSE,no
sunny,31,52,FALSE,yes
overcast,3,29,FALSE,yes
rainy,7,11,TRUE,yes
sunny,33,76,TRUE,yes
sunny,24,53,FALSE,yes
rainy,48,45,TRUE,yes
rainy,45,33,TRUE,no
rainy,70,79,TRUE,yes
sunny,-3,56,FALSE,yes
sunny,64,26,FALSE,yes
sunny,32,70,FALSE,no
overcast,28,46,TRUE,yes
sunny,36,43,FALSE,no
overcast,27,48,TRUE,no
overcast,54,10,TRUE,yes
overcast,28,67,FALSE,no
rainy,80,77,FALSE,yes
sunny,48,59,TRUE,no
sunny,65,10,TRUE,yes
sunny,14,66,FALSE,no
sunny,44,32,FALSE,no
overcast,46,19,TRUE,yes
overcast,4,28,TRUE,no
rainy,6,33,TRUE,yes
rainy,61,63,FALSE,yes
sunny,64,78,TRUE,no
sunny,27,20,TRUE,no
overcast,59,70,TRUE,yes
sunny,72,43,TRUE,yes
overcast,53,14,TRUE,no
rainy,76,23,FALSE,no
sunny,50,29,TRUE,yes
sunny,51,74,FALSE,no
overcast,2,33,FALSE,yes
overcast,1,43,TRUE,yes
rainy,6,65,FALSE,no
overcast,2,68,FALSE,no
overcast,21,79,FALSE,yes
sunny,22,79,TRUE,no
rainy,80,43,TRUE,no
rainy,32,21,FALSE,no
sunny,49,54,TRUE,yes
overcast,26,52,FALSE,no
sunny,18,63,FALSE,yes
sunny,5,41,TRUE,no
sunny,7,28,TRUE,no
sunny,18,18,TRUE,yes
overcast,69,17,TRUE,no
overcast,-1,20,FALSE,no
sunny,33,15,TRUE,no
overcast,20,10,TRUE,yes
rainy,69,31,FALSE,no
sunny,12,49,TRUE,yes
sunny,55,80,FALSE,no
rainy,70,27,FALSE,no
rainy,29,36,FALSE,no
sunny,67,45,FALSE,yes
rainy,11,56,TRUE,yes
