%estrutura dos dados
%n1, n2, n3, n4, n5, s1, s2

@relation milhao
  
@attribute primeiro_num real
@attribute segundo_num real
@attribute terceiro_num real
@attribute quarto_num real
@attribute quinto_num real
@attribute primeira_estrela real
@attribute segunda_estrela real

@data
25, 39, 19, 25, 18, 12, 4
27, 36, 9, 24, 3, 10, 2
10, 17, 21, 17, 42, 2, 2
19, 26, 7, 30, 43, 6, 10
18, 5, 12, 36, 11, 7, 6
15, 49, 2, 7, 4, 3, 1
1, 20, 8, 48, 16, 11, 9
46, 26, 23, 50, 45, 9, 1
8, 11, 15, 20, 43, 10, 2
22, 24, 32, 25, 9, 8, 9
24, 39, 28, 34, 34, 9, 11
37, 23, 26, 32, 49, 11, 10
39, 6, 32, 19, 6, 2, 12
39, 16, 40, 7, 17, 2, 12
18, 25, 35, 36, 48, 1, 7
38, 36, 20, 28, 8, 3, 1
14, 45, 41, 35, 21, 9, 4
44, 37, 40, 15, 12, 11, 10
7, 36, 6, 35, 43, 2, 1
45, 32, 25, 28, 19, 2, 12
37, 5, 23, 49, 50, 5, 6
48, 9, 20, 49, 19, 4, 2
27, 41, 47, 9, 47, 2, 1
20, 25, 11, 11, 36, 8, 1
12, 3, 3, 38, 5, 6, 10
4, 45, 46, 46, 32, 12, 9
10, 32, 11, 26, 19, 4, 7
14, 9, 37, 34, 35, 2, 3
23, 17, 28, 39, 21, 9, 6
29, 39, 33, 32, 18, 8, 5
23, 50, 11, 23, 46, 6, 10
10, 46, 24, 9, 38, 6, 12
21, 36, 34, 7, 14, 8, 9
11, 19, 31, 4, 19, 12, 9
12, 6, 27, 37, 22, 1, 5
4, 30, 18, 46, 43, 2, 7
36, 9, 42, 32, 34, 6, 4
17, 26, 39, 35, 12, 3, 9
4, 8, 4, 50, 36, 1, 12
10, 3, 28, 31, 20, 4, 4
50, 1, 38, 3, 46, 10, 1
2, 46, 3, 16, 9, 12, 6
34, 35, 20, 43, 28, 4, 7
34, 44, 10, 15, 42, 1, 5
45, 50, 25, 25, 24, 5, 8
14, 39, 22, 16, 49, 10, 3
6, 19, 33, 36, 22, 1, 1
1, 47, 9, 18, 25, 9, 1
41, 23, 17, 12, 3, 1, 3
42, 15, 36, 3, 43, 10, 7
1, 42, 19, 25, 1, 8, 4
33, 45, 47, 18, 50, 7, 8
31, 25, 2, 6, 40, 10, 6
11, 6, 32, 2, 9, 4, 5
16, 47, 14, 2, 8, 4, 5
32, 22, 28, 3, 13, 1, 9
37, 48, 46, 3, 26, 4, 3
48, 2, 40, 7, 6, 4, 11
38, 15, 21, 48, 7, 1, 4
34, 45, 2, 41, 45, 6, 10
7, 13, 47, 26, 21, 8, 7
46, 48, 7, 37, 41, 5, 10
7, 41, 46, 27, 35, 10, 5
12, 30, 10, 17, 45, 7, 7
33, 6, 27, 6, 27, 9, 3
14, 36, 45, 4, 31, 8, 5
22, 40, 5, 6, 34, 12, 5
45, 5, 27, 50, 14, 12, 7
21, 45, 23, 8, 24, 2, 10
33, 13, 24, 36, 37, 6, 11
16, 31, 31, 20, 21, 8, 1
19, 42, 32, 3, 34, 11, 8
14, 36, 11, 11, 29, 7, 6
24, 38, 9, 22, 17, 11, 7
14, 40, 19, 24, 37, 1, 6
1, 7, 24, 45, 40, 2, 7
15, 4, 32, 30, 31, 1, 6
16, 7, 19, 17, 15, 8, 3
21, 45, 1, 29, 20, 3, 2
50, 37, 25, 25, 3, 7, 6
33, 20, 35, 46, 31, 10, 11
19, 21, 25, 33, 22, 1, 12
29, 48, 30, 30, 18, 12, 12
38, 24, 6, 45, 27, 11, 9
38, 1, 37, 48, 37, 1, 9
49, 45, 16, 45, 33, 8, 5
33, 24, 39, 36, 23, 2, 6
15, 21, 12, 46, 15, 9, 1
25, 28, 4, 35, 27, 5, 5
43, 12, 16, 24, 30, 6, 4
43, 31, 4, 36, 18, 11, 9
12, 24, 26, 4, 11, 7, 8
50, 43, 23, 38, 24, 5, 1
3, 20, 21, 18, 9, 12, 11
21, 25, 26, 20, 5, 12, 3
9, 20, 49, 47, 15, 9, 7
3, 40, 43, 24, 1, 2, 1
9, 12, 28, 40, 28, 4, 7
3, 45, 40, 49, 2, 3, 10
36, 40, 40, 19, 4, 9, 4
16, 9, 15, 17, 22, 6, 6
31, 3, 43, 3, 47, 8, 8
16, 8, 35, 21, 26, 6, 11
45, 34, 39, 26, 3, 4, 11
27, 19, 48, 47, 12, 1, 5
42, 15, 37, 25, 27, 12, 6
20, 28, 16, 36, 28, 11, 11
29, 20, 33, 37, 49, 1, 8
24, 5, 27, 35, 17, 2, 6
15, 43, 42, 34, 29, 10, 5
3, 23, 26, 15, 50, 7, 12
11, 12, 3, 32, 42, 2, 1
46, 36, 5, 7, 30, 11, 2
3, 23, 11, 1, 12, 4, 12
8, 46, 18, 5, 24, 4, 5
44, 47, 10, 23, 16, 1, 10
37, 43, 29, 44, 28, 2, 9
38, 4, 35, 16, 2, 5, 8
15, 36, 43, 19, 16, 5, 7
50, 18, 39, 9, 5, 10, 3
38, 16, 1, 29, 48, 7, 11
33, 16, 2, 37, 1, 1, 2
2, 24, 26, 19, 14, 10, 1
1, 41, 22, 18, 25, 2, 6
39, 24, 4, 4, 18, 3, 8
28, 49, 36, 42, 47, 3, 3
8, 34, 15, 39, 25, 1, 2
5, 6, 24, 30, 31, 11, 10
39, 7, 21, 28, 8, 11, 4
46, 2, 8, 35, 10, 5, 2
26, 23, 1, 3, 4, 10, 2
49, 5, 13, 28, 27, 2, 5
14, 5, 10, 34, 20, 3, 3
31, 26, 40, 23, 18, 5, 5
22, 33, 27, 36, 6, 1, 10
31, 16, 3, 28, 30, 3, 8
11, 37, 17, 12, 34, 10, 6
