time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-10T19:15:26.360Z,19.4074993,-155.2666626,0.41,2.75,md,19,64,0.007864,0.14,hv,hv70258762,2018-06-10T19:18:38.230Z,"3km SW of Volcano, Hawaii",earthquake,0.19,0.25,0.24,15,automatic,hv,hv
2018-06-10T19:13:16.370Z,19.4060001,-155.2833405,0.37,2.25,ml,21,62,0.01162,0.14,hv,hv70258757,2018-06-10T19:18:58.240Z,"5km WSW of Volcano, Hawaii",earthquake,0.18,0.15,0.31,11,automatic,hv,hv
2018-06-10T19:05:49.360Z,19.3996658,-155.2598267,0.39,2,ml,16,103,0.006026,0.13,hv,hv70258732,2018-06-10T19:11:28.600Z,"4km SSW of Volcano, Hawaii",earthquake,0.2,0.25,0.23,7,automatic,hv,hv
2018-06-10T19:03:25.160Z,19.4128342,-155.276001,1.14,1.92,md,16,54,0.01196,0.14,hv,hv70258727,2018-06-10T19:06:25.510Z,"4km WSW of Volcano, Hawaii",earthquake,0.26,0.29,0.34,14,automatic,hv,hv
2018-06-10T18:59:24.260Z,19.387167,-155.269165,-0.14,2.03,ml,7,248,0.009188,0.11,hv,hv70258707,2018-06-10T19:05:06.110Z,"5km SW of Volcano, Hawaii",earthquake,0.49,0.3,0.13,3,automatic,hv,hv
2018-06-10T18:57:48.990Z,34.0325,-117.4051667,0.27,1.33,ml,12,122,0.1111,0.31,ci,ci38195184,2018-06-10T19:01:28.887Z,"4km N of Rubidoux, CA",earthquake,1.2,31.61,0.421,29,automatic,ci,ci
2018-06-10T18:54:50.020Z,19.4151669,-155.2769928,-1.11,1.77,ml,9,119,0.00715,0.2,hv,hv70258687,2018-06-10T19:00:32.380Z,"4km WSW of Volcano, Hawaii",earthquake,0.17,0.54,0.5,9,automatic,hv,hv
2018-06-10T18:50:16.860Z,38.9971657,-122.9956665,5.58,1.86,md,13,102,0.04719,0.05,nc,nc73028436,2018-06-10T19:06:01.697Z,"9km SW of Lakeport, CA",earthquake,0.56,0.61,0.11,6,automatic,nc,nc
2018-06-10T18:49:14.040Z,41.0141678,-125.3280029,4.21,,,23,293,0.9966,0.16,nc,nc73028431,2018-06-10T19:15:02.755Z,"100km W of Trinidad, CA",earthquake,4.91,13.87,,,automatic,nc,nc
2018-06-10T18:46:26.970Z,19.4163342,-155.272995,1.11,2.44,ml,30,63,0.009434,0.13,hv,hv70258667,2018-06-10T18:52:08.310Z,"4km WSW of Volcano, Hawaii",earthquake,0.21,0.16,2.14,14,automatic,hv,hv
2018-06-10T18:43:49.560Z,19.3998337,-155.2646637,0.8,2.03,ml,16,82,0.002043,0.15,hv,hv70258662,2018-06-10T18:49:30.650Z,"4km SW of Volcano, Hawaii",earthquake,0.23,0.31,0.66,10,automatic,hv,hv
2018-06-10T18:38:00.560Z,19.4144993,-155.2716675,0.76,1.84,ml,16,52,0.01138,0.21,hv,hv70258642,2018-06-10T18:43:40.770Z,"3km WSW of Volcano, Hawaii",earthquake,0.2,0.23,0.24,9,automatic,hv,hv
2018-06-10T18:37:00.510Z,19.416666,-155.2704926,2.81,2,md,14,58,0.01047,0.14,hv,hv70258637,2018-06-10T18:40:03.210Z,"3km WSW of Volcano, Hawaii",earthquake,0.5,0.59,0.33,10,automatic,hv,hv
2018-06-10T18:27:01.670Z,19.4136658,-155.2783356,0.93,1.93,ml,18,55,0.006736,0.1,hv,hv70258607,2018-06-10T18:32:41.120Z,"4km WSW of Volcano, Hawaii",earthquake,0.25,0.27,0.24,9,automatic,hv,hv
2018-06-10T18:25:04.360Z,19.4063339,-155.2883301,0.24,1.96,md,15,103,0.01196,0.18,hv,hv70258602,2018-06-10T18:28:15.030Z,"5km WSW of Volcano, Hawaii",earthquake,0.22,0.29,0.05,9,automatic,hv,hv
2018-06-10T18:12:26.380Z,36.975,-104.8525,5,2.9,ml,,48,0.156,0.61,us,us1000emsv,2018-06-10T19:13:21.040Z,"37km WNW of Raton, New Mexico",earthquake,1.3,1.9,0.097,14,reviewed,us,us
